tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,neutral,1,,,Virgin America,,BobGlavinVO,,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,23-02-2015 16:01,"New York, NY",Eastern Time (US & Canada)
5.70E+17,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,23-02-2015 15:58,,
5.70E+17,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,23-02-2015 15:55,Worldwide,Central Time (US & Canada)
5.70E+17,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,23-02-2015 15:46,Northern Virginia,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,2v,,0,@VirginAmerica wish you flew out of Atlanta... Soon?,,23-02-2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
5.70E+17,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,23-02-2015 15:24,,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,23-02-2015 15:19,,
5.70E+17,positive,1,,,Virgin America,,VinnieFerra,,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,,23-02-2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada)
5.70E+17,positive,0.635,,,Virgin America,,KevinDemsi,,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,,23-02-2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
5.70E+17,neutral,0.7007,,,Virgin America,,giffgaffman,,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,23-02-2015 14:40,"UK, USA. ",
5.70E+17,neutral,1,,,Virgin America,,HanlonBrothers,,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,23-02-2015 14:37,"Gold Coast, Australia",Brisbane
5.70E+17,neutral,1,,,Virgin America,,emilybg78,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,23-02-2015 14:36,"Stockton, CA",Arizona
5.70E+17,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",23-02-2015 14:30,,
5.70E+17,neutral,1,,,Virgin America,,SocialPLC,,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,23-02-2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,jeffreymace01,,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,23-02-2015 14:25,,
5.70E+17,neutral,0.6814,,0,Virgin America,,1stcrown,,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,23-02-2015 14:09,USA,Central Time (US & Canada)
5.70E+17,positive,0.6922,,,Virgin America,,Travelzoo,,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,23-02-2015 13:30,"New York, NY",Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,bxchen,,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,23-02-2015 12:47,"San Francisco, CA",Eastern Time (US & Canada)
5.70E+17,neutral,0.6492,,0,Virgin America,,seimatrun,,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,23-02-2015 12:00,Los Angeles,
5.70E+17,neutral,1,,,Virgin America,,jamied7,,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,23-02-2015 11:56,"London, England",London
5.70E+17,positive,1,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",23-02-2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,23-02-2015 11:28,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,campusmoviefest,,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,23-02-2015 11:24,USA,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,23-02-2015 11:22,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,kyle_romanoff,,0,@VirginAmerica what happened to Doom?!,,23-02-2015 10:58,,
5.70E+17,positive,1,,,Virgin America,,artisticwritr87,,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,23-02-2015 10:56,"Seattle, WA",Pacific Time (US & Canada)
5.70E+17,neutral,0.6705,,0,Virgin America,,serenaklal,,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,23-02-2015 10:15,Chicago,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,openambit1,,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,,23-02-2015 10:09,,
5.70E+17,neutral,0.6545,,0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,23-02-2015 10:04,"Los Cabos,Mexico",Arizona
5.70E+17,neutral,1,,,Virgin America,,RamotControl,,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",,23-02-2015 09:45,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6639,,0,Virgin America,,losermelon,,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,23-02-2015 09:35,,
5.70E+17,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,,23-02-2015 09:26,,
5.70E+17,neutral,1,,,Virgin America,,STravelsW,,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,,23-02-2015 08:19,"Manhattan Beach, CA",
5.70E+17,neutral,1,,,Virgin America,,joeyrenagade,,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,,23-02-2015 08:08,Greater Los Angeles,
5.70E+17,positive,1,,,Virgin America,,TheDuchessSF,,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",,23-02-2015 07:50,Online,Pacific Time (US & Canada)
5.70E+17,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",23-02-2015 07:28,"Dallas, TX",
5.70E+17,positive,0.6823,,0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,23-02-2015 06:57,"Washington, DC",Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,flyfromSEA,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",,23-02-2015 06:57,Seattle,Central Time (US & Canada)
5.70E+17,positive,0.6806,,,Virgin America,,flyfromNYC,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",,23-02-2015 06:57,"New York City, NY",Central Time (US & Canada)
5.70E+17,neutral,0.6529,,,Virgin America,,flyfromLAX,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",,23-02-2015 06:57,"Los Angeles, CA",Central Time (US & Canada)
5.70E+17,positive,0.678,,,Virgin America,,Silvanabfer,,0,@VirginAmerica Have a great week 🌞✈,,23-02-2015 06:51,,
5.70E+17,positive,0.3482,,0,Virgin America,,AdamJdubs,,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,23-02-2015 06:07,Earth,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,tstashajones,,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",,23-02-2015 03:01,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,SkateMamas,,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,23-02-2015 00:35,"Los Angeles, CA",
5.70E+17,positive,1,,,Virgin America,,dngoo,,0,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,23-02-2015 00:21,"Near a park, water, or lights",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,SamBrittenham,,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,23-02-2015 00:06,USA,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,ptbrodie,,0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,22-02-2015 20:23,San Francisco,
5.70E+17,positive,1,,,Virgin America,,cheryleng,,0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,"[33.9469039, -118.40716847]",22-02-2015 17:48,,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,HishamSharaby,,0,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",,22-02-2015 17:45,New York,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,JKF1897,,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,22-02-2015 16:18,,
5.70E+17,neutral,1,,,Virgin America,,F6x,,0,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,"[40.64662464, -73.77090177]",22-02-2015 16:05,"San Francisco, CA",Pacific Time (US & Canada)
5.70E+17,neutral,0.6535,,0,Virgin America,,lawyang588,,0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,,22-02-2015 15:41,,
5.70E+17,neutral,1,,,Virgin America,,nikkisixxfan93,,0,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,,22-02-2015 15:03,"Sacramento,California",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,lisaptv,,1,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,,22-02-2015 14:32,,Mountain Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,dropapp,,0,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",,22-02-2015 14:31,,
5.70E+17,positive,0.7011,,,Virgin America,,HollywoodHotMom,,0,@VirginAmerica always!!! Xoxo,,22-02-2015 14:09,All Over!,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,SkateMamas,,0,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,,22-02-2015 13:55,"Los Angeles, CA",
5.70E+17,neutral,0.355,,0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,,22-02-2015 13:49,New York City ,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,HollywoodHotMom,,0,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,,22-02-2015 13:45,All Over!,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,jessicajaymes,,2,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,"[33.94652852, -118.40766257]",22-02-2015 12:49,"hollywood, california",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,livingfitly,,0,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,,22-02-2015 12:35,"Washington, DC",Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,MACRoxburgh,,0,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,,22-02-2015 11:56,,Atlantic Time (Canada)
5.70E+17,positive,1,,,Virgin America,,paulnakada,,0,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),,22-02-2015 11:33,San Francisco,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,wildcatdad,,0,@VirginAmerica is your website ever coming back online?,,22-02-2015 11:13,,
5.70E+17,neutral,0.6732,,0,Virgin America,,RheaThurman1,,0,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",,22-02-2015 11:10,,
5.70E+17,neutral,1,,,Virgin America,,Osiris91780,,0,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,,22-02-2015 11:10,,
5.70E+17,neutral,1,,,Virgin America,,HeatherWhoo,,0,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,,22-02-2015 11:10,,
5.69E+17,neutral,1,,,Virgin America,,NewsSWA,,0,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,,22-02-2015 05:02,FL410,Sydney
5.69E+17,neutral,1,,,Virgin America,,NewsSWA,,0,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,,22-02-2015 03:32,FL410,Sydney
5.69E+17,neutral,1,,,Virgin America,,NewsSWA,,0,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",,22-02-2015 03:02,FL410,Sydney
5.69E+17,neutral,1,,,Virgin America,,Graemelodge5545,,0,@VirginAmerica Lister to my show my on Monday 1230 130,,22-02-2015 02:42,,
5.69E+17,neutral,1,,,Virgin America,,NewsSWA,,0,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,,22-02-2015 01:32,FL410,Sydney
5.69E+17,neutral,0.6816,,0,Virgin America,,khartline,,0,@VirginAmerica I'd love to know what your policy is for damaged luggage.,,21-02-2015 20:41,Las Vegas,Pacific Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,simpasmore,,0,@VirginAmerica Thank you for the follow,,21-02-2015 20:33,Barbados ,Eastern Time (US & Canada)
5.69E+17,neutral,0.6701,,0,Virgin America,,TTINAC11,,0,@VirginAmerica @TTINAC11 I DM you,,21-02-2015 18:35,"Las Vegas, NV",Mountain Time (US & Canada)
5.69E+17,neutral,0.6942,,0,Virgin America,,elaurawrr,,0,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,,21-02-2015 18:29,,Arizona
5.69E+17,positive,0.3579,,0,Virgin America,,miaerolinea,,0,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,,21-02-2015 18:09,Worldwide,Caracas
5.69E+17,positive,1,,,Virgin America,,archiegips,,0,@VirginAmerica Only way to fly! #Elevate #Gold,,21-02-2015 18:02,LaLa Land,Pacific Time (US & Canada)
5.69E+17,neutral,0.653,,,Virgin America,,obiwantoby,,0,@VirginAmerica If only you guys had flights from CMH.,,21-02-2015 17:43,,Quito
5.69E+17,neutral,0.6743,,0,Virgin America,,TheNotoriousLEX,,0,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,,21-02-2015 17:18,Chicago ,Central Time (US & Canada)
5.69E+17,positive,0.6783,,,Virgin America,,advertisingdiva,,0,@VirginAmerica you will match my #AmericanAirlines status? Cool!,"[38.9128188, -77.00798226]",21-02-2015 17:15,DC - LA - Venice Beach,Eastern Time (US & Canada)
5.69E+17,neutral,0.6863,,,Virgin America,,Floxie10,,0,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,,21-02-2015 17:14,Argentina,
5.69E+17,positive,1,,,Virgin America,,lexiesalas,,0,@VirginAmerica thanks!,,21-02-2015 16:50,BAYAREA✈️NYC,Pacific Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,JT_Magana,,0,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,,21-02-2015 14:28,,
5.69E+17,positive,1,,,Virgin America,,carabubes,,0,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",,21-02-2015 14:24,"Los Angeles, California",Central Time (US & Canada)
5.69E+17,neutral,0.6809,,0,Virgin America,,carabubes,,0,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,,21-02-2015 14:23,"Los Angeles, California",Central Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,wmrrock,,0,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,,21-02-2015 14:21,CT,Eastern Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,DailyBillboard,,0,@VirginAmerica Keep up the great work :),,21-02-2015 13:52,"Los Angeles, California",Pacific Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,BigRichTexasPam,,0,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,"[32.84359605, -96.84910929]",21-02-2015 13:52,FREE ADVICE! ,Central Time (US & Canada)
5.69E+17,positive,0.6775,,0,Virgin America,,rtw4,,0,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,,21-02-2015 13:41,"Natick, MA, USA",Central Time (US & Canada)
5.69E+17,neutral,1,,,Virgin America,,casualdiego,,0,@VirginAmerica can you please get me to the new york area before monday afternoon,,21-02-2015 13:32,"okayville, population me",
5.69E+17,positive,1,,,Virgin America,,kyle_romanoff,,0,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",,21-02-2015 13:32,,
5.69E+17,positive,0.6667,,0,Virgin America,,aaronkurlander,,0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,,21-02-2015 13:00,"New York, NY",Eastern Time (US & Canada)
5.69E+17,neutral,0.634,,0,Virgin America,,floatingatoll,,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",,21-02-2015 12:45,"Silicon Valley, California",Pacific Time (US & Canada)
5.69E+17,positive,0.6522,,,Virgin America,,carlos89178,,0,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,,21-02-2015 11:49,,
5.69E+17,positive,1,,,Virgin America,,carlos89178,,0,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,,21-02-2015 11:45,,
5.69E+17,neutral,1,,,Virgin America,,alanzeino,,0,"@VirginAmerica it’s just a bug report, guys",,21-02-2015 11:40,San Francisco,Pacific Time (US & Canada)
5.69E+17,positive,0.7081,,,Virgin America,,stefanpinto,,0,@VirginAmerica Like http://t.co/VPqEm31XUQ,,21-02-2015 11:10,"Los Angeles, CA",Pacific Time (US & Canada)
5.69E+17,positive,1,,,Virgin America,,jennifer_caron,,0,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,,21-02-2015 10:58,"Los Angeles, CA",Pacific Time (US & Canada)
5.69E+17,positive,0.6899,,,Virgin America,,miaerolinea,,0,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",,21-02-2015 10:54,Worldwide,Caracas
5.69E+17,positive,1,,,Virgin America,,ninjasistah,,0,@VirginAmerica thanks so much!,,21-02-2015 10:40,Massachusetts,Eastern Time (US & Canada)
